STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGDNS30601,Cloud  Server Security,WatchGuard DNSWatchGO - 1 Year - 1001 to 5000 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGDNS30601.jpg,Watchguard,WGDNS30601,25,31
NWG-WGDNS30701,Cloud  Server Security,WatchGuard DNSWatchGO - 1 Year - 5001+ Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGDNS30701.jpg,Watchguard,WGDNS30701,21,27
NWG-WGM58173,Cloud  Server Security,WatchGuard APT Blocker 3-yr for Firebox M5800,https://www.leadersystems.com.au/Images/NWG-WGM58173.jpg,Watchguard,WGM58173,30434,38610
NWG-WGM29040101,Subscriptions  Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox M290,https://www.leadersystems.com.au/Images/NWG-WGM29040101.jpg,Watchguard,WGM29040101,547,682
NWG-WGM39021801,Subscriptions  Licensing,WatchGuard Cloud 1-month data retention for M390 - 1-yr,https://www.leadersystems.com.au/Images/NWG-WGM39021801.jpg,Watchguard,WGM39021801,746,930
NWG-WGM57181,Subscriptions  Licensing,WatchGuard Network Discovery 1-yr for Firebox M570,https://www.leadersystems.com.au/Images/NWG-WGM57181.jpg,Watchguard,WGM57181,2071,2580
NWG-WGM67151,Subscriptions  Licensing,WatchGuard Application Control 1-yr for Firebox M670,https://www.leadersystems.com.au/Images/NWG-WGM67151.jpg,Watchguard,WGM67151,2873,3579
NWG-WG9019,Watchguard Accessories,WatchGuard Firebox M 3rd Gen 4 x 1Gb SFP Fiber Module,https://www.leadersystems.com.au/Images/NWG-WG9019.jpg,Watchguard,WG9019,721,1022
NWG-WGPSP30401,Subscriptions  Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 1 Year - 251 to 500 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30401.jpg,Watchguard,WGPSP30401,88,110
NWG-WGPSP30501,Subscriptions  Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 1 Year - 501 to 1000 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30501.jpg,Watchguard,WGPSP30501,75,94
NWG-WGPSP30703,Subscriptions  Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 3 Year - 5001+ Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30703.jpg,Watchguard,WGPSP30703,136,170
NWG-WGATH30303,Identity  Access Security,WatchGuard AuthPoint - 3 Year - 101 to 250 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGATH30303.jpg,Watchguard,WGATH30303,67,84
NWG-WGATH30403,Identity  Access Security,WatchGuard AuthPoint - 3 Year - 251 to 500 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGATH30403.jpg,Watchguard,WGATH30403,60,75
NWG-WGDNS30103,Cloud  Server Security,WatchGuard DNSWatchGO - 3 Year - 1 to 50 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGDNS30103.jpg,Watchguard,WGDNS30103,113,142
NWG-WGDNS30203,Cloud  Server Security,WatchGuard DNSWatchGO - 3 Year - 51 to 100 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGDNS30203.jpg,Watchguard,WGDNS30203,100,125
NWG-WGM48221,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox M4800,https://www.leadersystems.com.au/Images/NWG-WGM48221.jpg,Watchguard,WGM48221,5834,7402
NWG-WGWFC201,Subscriptions  Licensing,"WatchGuard 1-yr Basic Wi-Fi Renewal/Upgrade, 1 AP",https://www.leadersystems.com.au/Images/NWG-WGWFC201.jpg,Watchguard,WGWFC201,131,163
NWG-WGT15181,Subscriptions  Licensing,WatchGuard Network Discovery 1-yr for Firebox T15,https://www.leadersystems.com.au/Images/NWG-WGT15181.jpg,Watchguard,WGT15181,137,171
NWG-WGT16261,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox T15-W,https://www.leadersystems.com.au/Images/NWG-WGT16261.jpg,Watchguard,WGT16261,172,214
NWG-WGM48331,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox M4800,https://www.leadersystems.com.au/Images/NWG-WGM48331.jpg,Watchguard,WGM48331,11179,14183
NWG-WGM58331,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox M5800,https://www.leadersystems.com.au/Images/NWG-WGM58331.jpg,Watchguard,WGM58331,25950,32922
NWG-WGM58351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox M5800,https://www.leadersystems.com.au/Images/NWG-WGM58351.jpg,Watchguard,WGM58351,49763,63743.33
