SKU,Name,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGT1450203,Trade Up to WatchGuard Basic Security Suite for Firebox T145 - 3-Year (License ONLY; HW SKU: WGT145000),Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?Dwa7sU5DTWE=oayx48oOvgUMvk5+WZLwFg==R9Vg29Jcsb6lCmzu5/Eo8Y4rttKyLQ==
NWG-WGT1450205,Trade Up to WatchGuard Basic Security Suite for Firebox T145 - 5-Year (License ONLY; HW SKU: WGT145000),Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?hlgtwT09cIg=wBnwrceNIEjMR7ChZvHbwA==3FBsA/bLDv1B4strbYsqSzg1NR0R+w==
NWG-WGT1450075,WatchGuard Basic Security Suite for Firebox T145 - 5-Year (License ONLY; HW SKU: WGT145000),Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?hAKZ2VBRb7Q=1L07t991dUG5a8SlxgglNQ==KveQeucK7TQUBvuVIDjY1AVHzekekA==
NWG-WGWESS30401,WatchGuard Endpoint Security for Servers - 1 Year - 251 to 500 licenses,Electronic,Endpoint & Mobile,Endpoint Security for Servers,https://partner.leadersystems.com.au/products.html?VKEsmESuFEo=XJrTcNTSPt9sD33fXaLmGQ==2GnXY9A5raxVvC/vod0xtOUs/+KJlLA=
NWG-WGMDRT30503,WatchGuard Total MDR - 3 Year - 501 to 1000 licenses,Electronic,MDR & NDR,Total MDR,https://partner.leadersystems.com.au/products.html?w33fiEiEBt4=eDpMOf4KPMhdREsEneITsg==PkHanHryRQd+76jEfeHfKsOlvgDQmXw=
NWG-WGT1250065,WatchGuard Standard Support for Firebox T125 - 5-Year (License ONLY; HW SKU: WGT125000),Electronic,T-Series,T125,https://partner.leadersystems.com.au/products.html?7YbFuZxpx5E=uMUKtn5YGmibjQXswF3/Qw==0MebvaPjcslmKaY9sXQMC8Noo1V0Ug==
NWG-WGT1460211,Trade Up to WatchGuard Total Security Suite for Firebox T145-W - 1-Year (License ONLY; HW SKU: WGT146000),Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?7X6GwuHOvNI=JpBHs9DwDLfNACKKx+8BRQ==MA/PFSMXSgpCN3TNipphQvOQRORtSw==
NWG-WGT1850061,WatchGuard Standard Support for Firebox T185 - 1-Year (License ONLY; HW SKU: WGT185000),Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?aiRP2wpRfaI=EGn9UOFvccy8hZGxHDj15Q==irftxzHjRfRum3368kfTW0DCBiHGMw==
NWG-WGT1850065,WatchGuard Standard Support for Firebox T185 - 5-Year (License ONLY; HW SKU: WGT185000),Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?/oV6/n+KnEc=uP/AtUkSWmXvJGIwqCK1oA==13kC/1dWJRF5uCsRr5d70aDhF8O0eg==
NWG-WGM3950203,Trade Up to WatchGuard Basic Security Suite for Firebox M395 - 3-Year (License ONLY; HW SKU: WGM395000),Electronic,M-Series,M395,https://partner.leadersystems.com.au/products.html?apY8+yIBnc0=kgZjluCXpO5hH480ZxsLyw==FVXhipGad5y+MMTyQFBdDr56mFUrRg==
NWG-WGM4950203,Trade Up to WatchGuard Basic Security Suite for Firebox M495 - 3-Year (License ONLY; HW SKU: WGM495000),Electronic,M-Series,M495,https://partner.leadersystems.com.au/products.html?YuIn0U4LuQQ=vStlfnd5v7WV0T89ajwIKQ==JQgIbs/F9hBcR5Ky0TO+RjcvJwLy9Q==
NWG-WGTSSAAS30203,WatchGuard ThreatSync+ SAAS - 3 Year - 51 to 100 licenses,Electronic,MDR & NDR,ThreatSync+ SaaS,https://partner.leadersystems.com.au/products.html?5Jox421PG70=DjlUvdvWm0jNuo056y63Sw==gpShNdBlt2uAYnYN+8u4U4jahePMnk0pnQ==
NWG-WGTSSAAS30401,WatchGuard ThreatSync+ SAAS - 1 Year - 251+ licenses,Electronic,MDR & NDR,ThreatSync+ SaaS,https://partner.leadersystems.com.au/products.html?pUsgmwUuQzw=SzzQDJonhAXme3jmjilp0w==Sz2KW1coPz4XfFby1CsQHG9XH21ac/FxRA==
NWG-WGMZTC30505,WatchGuard Managed Zero-Trust - 5-Year - 501 to 1000 Seats,Electronic,Endpoint & Mobile,Managed Zero-Trust,https://partner.leadersystems.com.au/products.html?yl5iw7bzl30=y6diULRpssHz6KICI5Q19Q==lk8bA6p6m00M2uRMClabmRPC+KAC5lk=
NWG-WGM3950071,WatchGuard Basic Security Suite for Firebox M395 - 1-Year (License ONLY; HW SKU: WGM395000),Electronic,M-Series,M395,https://partner.leadersystems.com.au/products.html?yBNmOZcwF3Q=pPmZ3wUlW+VlMPZ7ZDZsfw==4xfnjMpmlFCW4LYoisQFXV3f466m6Q==
NWG-WGM3950073,WatchGuard Basic Security Suite for Firebox M395 - 3-Year (License ONLY; HW SKU: WGM395000),Electronic,M-Series,M395,https://partner.leadersystems.com.au/products.html?iKgRwk8qvEA=PsGmaYaitExkQjalhihNxA==SKhmqkcspM2pEJNLXfXF5HECgjsorQ==
NWG-WGM2950063,WatchGuard Standard Support for Firebox M295 - 3-Year (License ONLY; HW SKU: WGM295000),Electronic,M-Series,M295,https://partner.leadersystems.com.au/products.html?5CQX2OZKDCo=xHPHaOscoYBebpjFYl1MCQ==mrr7qhv/cG0tbf4ufABTYo8rsvcbSw==
NWG-WGM2951601,WatchGuard Standard Support for Firebox M295 High Availability - 1-Year (License ONLY; HW SKU: WGM295000),Electronic,M-Series,M295,https://partner.leadersystems.com.au/products.html?INrN45Qk6mM=B8Ts2PTk7q2suvZKFnY6SA==H3ra3AGGoKuRumIuwgfAtV5hdmhaQA==
NWG-WGM3950081,WatchGuard Total Security Suite for Firebox M395 - 1-Year (License ONLY; HW SKU: WGM395000),Electronic,M-Series,M395,https://partner.leadersystems.com.au/products.html?HjJkDiv/HCU=BffoBSJOcbkKCV4Q2Ad7GQ==9sCicEdDlmalywf4QnjZwppqegs0Dw==
NWG-WGM4950083,WatchGuard Total Security Suite for Firebox M495 - 3-Year (License ONLY; HW SKU: WGM495000),Electronic,M-Series,M495,https://partner.leadersystems.com.au/products.html?lqqv7Dd9Wz0=WXDS8K0Dshyu2zuzIhPHkQ==xwluY0T4WjUw9dNCxDBwOO4E27JPUg==
NWG-WGM5950081,WatchGuard Total Security Suite for Firebox M595 - 1-Year (License ONLY; HW SKU: WGM595000),Electronic,M-Series,M595,https://partner.leadersystems.com.au/products.html?cVn8PJdgO34=EyFPbF51hce8cYK0crgNZg==ph9ceH8S3PZkDAj/nd00+XwcD43Z6Q==
NWG-WGZTC30205,WatchGuard Zero-Trust - 5-Year - 51 to 100 Seats,Electronic,Endpoint & Mobile,Zero-Trust,https://partner.leadersystems.com.au/products.html?rKX0vnmcsm8=UqBJrfdEIP/KiCM1m5Z8Pg==l5CyHrZkrcrFSVji01AgL3s3+s29xA==
NWG-WGZTC30601,WatchGuard Zero-Trust - 1-Year - 1001 to 5000 Seats,Electronic,Endpoint & Mobile,Zero-Trust,https://partner.leadersystems.com.au/products.html?cNCNpiB91wo=WylmZPgltqxecdSOVj1d4g==RYUVyllBSt+yYNzEIJm7NOdMSKzgxQ==
NWG-WGZTC30603,WatchGuard Zero-Trust - 3-Year - 1001 to 5000 Seats,Electronic,Endpoint & Mobile,Zero-Trust,https://partner.leadersystems.com.au/products.html?q60mRbNloGM=HE7mL8WQOzcUiKo1C2dOuw==ph4G5NNaYp0WdLyXNMizS+gYa8pVHg==
